state_code,tourism_region,grand_total,total_employing,non_employing,business_thousand,capacity_label
VIC,Yarra Valley and the Dandenong Ranges,3949,1798,2151,3.949,Not top-20 hotspot
VIC,Peninsula,3844,1964,1880,3.844,Not top-20 hotspot
NSW,Central Coast,3644,2009,1635,3.644,Not top-20 hotspot
QLD,Southern Queensland Country,3495,1857,1638,3.495,Not top-20 hotspot
NSW,Capital Country,2375,1260,1115,2.375,Not top-20 hotspot
VIC,Gippsland,2280,1308,972,2.28,Not top-20 hotspot
VIC,Great Ocean Road,2143,1267,876,2.143,Not top-20 hotspot
NSW,New England North West,2076,1227,849,2.076,Not top-20 hotspot
VIC,High Country,1862,1064,798,1.862,Not top-20 hotspot
VIC,Bendigo Loddon,1796,1009,787,1.796,Not top-20 hotspot
NSW,Riverina,1712,1042,670,1.712,Not top-20 hotspot
TAS,Launceston and the North,1625,929,696,1.625,Not top-20 hotspot
