region,state_code,visitors,spend_per_visitor,nights_per_visitor,expenditure_m,visitor_rank,spend_rank,hidden_value_score,quadrant
Mallee,VIC,25554.44867003944,3121.461885515593,64.4892541668009,79.76723752889276,20,2,18,Hidden high-value
Queensland Country,QLD,50657.60142171889,2122.816848558555,43.11274678101924,107.53680980558867,18,8,10,Hidden high-value
Central NSW,NSW,40862.83412149919,1968.0180961536064,35.78708590291227,80.41879701123347,19,9,10,Hidden high-value
Darwin,NT,125759.3645957776,1869.4323124609384,27.52444394795417,235.0986197699028,15,10,5,Hidden high-value
South Coast,NSW,147834.55643844686,1850.1545687264636,21.010205492679717,273.51678001024266,13,11,2,Lower priority
Geelong and the Bellarine,VIC,73517.98131928858,1505.9274809645565,17.577764805466682,110.71274841375556,17,15,2,Lower priority
Hobart and the South,TAS,211186.3821062357,1689.7360461180515,11.678486074514652,356.8492422941668,11,14,-3,Lower priority
Australia's South West,WA,138541.10642921735,1145.5512092731367,15.668950315083531,158.70593200402828,14,17,-3,Lower priority
Hunter,NSW,158306.7222805668,1368.3658174425682,18.60924452603097,216.62150744010145,12,16,-4,Lower priority
Townsville,QLD,107943.8270847878,752.3686148561383,10.558750970411152,81.21354766605228,16,20,-4,Lower priority
