date,year,month,inbound,outbound,total
2015-01-01,2015,Jan,1784287,1498628,3282915
2015-02-01,2015,Feb,1410790,1240775,2651565
2015-03-01,2015,Mar,1370140,1432073,2802213
2015-04-01,2015,Apr,1361635,1384880,2746515
2015-05-01,2015,May,1218186,1309275,2527461
2015-06-01,2015,Jun,1232005,1456587,2688592
2015-07-01,2015,Jul,1649910,1439511,3089421
2015-08-01,2015,Aug,1417242,1453713,2870955
2015-09-01,2015,Sep,1458846,1474613,2933459
2015-10-01,2015,Oct,1631063,1391059,3022122
2015-11-01,2015,Nov,1403347,1420285,2823632
2015-12-01,2015,Dec,1580055,1847744,3427799
2016-01-01,2016,Jan,1918216,1642055,3560271
2016-02-01,2016,Feb,1560626,1375056,2935682
2016-03-01,2016,Mar,1470828,1538489,3009317
2016-04-01,2016,Apr,1481132,1478130,2959262
2016-05-01,2016,May,1301845,1389018,2690863
2016-06-01,2016,Jun,1330046,1575902,2905948
2016-07-01,2016,Jul,1832875,1574975,3407850
2016-08-01,2016,Aug,1514269,1548743,3063012
2016-09-01,2016,Sep,1583513,1592100,3175613
2016-10-01,2016,Oct,1740278,1485480,3225758
2016-11-01,2016,Nov,1489028,1536531,3025559
2016-12-01,2016,Dec,1691033,1966585,3657618
2017-01-01,2017,Jan,2044464,1757649,3802113
2017-02-01,2017,Feb,1599434,1371201,2970635
2017-03-01,2017,Mar,1509048,1550291,3059339
2017-04-01,2017,Apr,1634650,1673176,3307826
2017-05-01,2017,May,1391507,1479723,2871230
2017-06-01,2017,Jun,1425247,1669146,3094393
2017-07-01,2017,Jul,1897855,1643059,3540914
2017-08-01,2017,Aug,1607947,1642140,3250087
2017-09-01,2017,Sep,1649934,1680464,3330398
2017-10-01,2017,Oct,1826871,1543057,3369928
2017-11-01,2017,Nov,1571174,1620735,3191909
2017-12-01,2017,Dec,1773170,2053765,3826935
2018-01-01,2018,Jan,2098405,1786996,3885401
2018-02-01,2018,Feb,1697805,1489815,3187620
2018-03-01,2018,Mar,1660037,1710242,3370279
2018-04-01,2018,Apr,1664141,1697992,3362133
2018-05-01,2018,May,1477266,1549386,3026652
2018-06-01,2018,Jun,1504833,1772073,3276906
2018-07-01,2018,Jul,1994170,1716945,3711115
2018-08-01,2018,Aug,1711828,1757645,3469473
2018-09-01,2018,Sep,1710672,1752050,3462722
2018-10-01,2018,Oct,1925383,1622374,3547757
2018-11-01,2018,Nov,1636769,1687907,3324676
2018-12-01,2018,Dec,1808282,2142297,3950579
2019-01-01,2019,Jan,2187442,1885630,4073072
2019-02-01,2019,Feb,1757525,1499283,3256808
2019-03-01,2019,Mar,1629562,1655711,3285273
2019-04-01,2019,Apr,1701680,1801316,3502996
2019-05-01,2019,May,1579940,1627989,3207929
2019-06-01,2019,Jun,1545754,1782850,3328604
2019-07-01,2019,Jul,1985113,1750509,3735622
2019-08-01,2019,Aug,1766857,1801853,3568710
2019-09-01,2019,Sep,1721451,1775323,3496774
2019-10-01,2019,Oct,1926829,1660334,3587163
2019-11-01,2019,Nov,1702426,1724008,3426434
