_id,Year_Month,Card_type,Travel_Mode,Trip
1,Jul-2016,Adult,Bus,13146432
2,Jul-2016,Child/Youth,Bus,1079640
3,Jul-2016,Concession,Bus,1845322
4,Jul-2016,Employee,Bus,64989
5,Jul-2016,Free Travel,Bus,25228
6,Jul-2016,School Student,Bus,1297240
7,Jul-2016,Senior/Pensioner,Bus,3739658
8,Jul-2016,Adult,Ferry,861272
9,Jul-2016,Child/Youth,Ferry,108450
10,Jul-2016,Concession,Ferry,71362
11,Jul-2016,Employee,Ferry,5251
12,Jul-2016,Free Travel,Ferry,1317
13,Jul-2016,School Student,Ferry,1295
14,Jul-2016,Senior/Pensioner,Ferry,152188
15,Jul-2016,Sgl Trip Ferry Adult,Ferry,10030
16,Jul-2016,Sgl Trip Ferry Child/Youth,Ferry,2547
17,Jul-2016,Adult,Light Rail,595732
18,Jul-2016,Child/Youth,Light Rail,48667
19,Jul-2016,Concession,Light Rail,27107
20,Jul-2016,Employee,Light Rail,2
21,Jul-2016,Free Travel,Light Rail,693
22,Jul-2016,LR-MST,Light Rail,24913
23,Jul-2016,School Student,Light Rail,994
24,Jul-2016,Senior/Pensioner,Light Rail,128228
25,Jul-2016,Sgl Trip LR Adult,Light Rail,1094
26,Jul-2016,Sgl Trip LR Child/Youth,Light Rail,302
27,Jul-2016,Adult,Train,22145198
28,Jul-2016,Child/Youth,Train,1107160
29,Jul-2016,Concession,Train,2105013
30,Jul-2016,Employee,Train,264074
31,Jul-2016,Free Travel,Train,24395
32,Jul-2016,School Student,Train,511309
33,Jul-2016,Senior/Pensioner,Train,2567262
34,Jul-2016,Sgl Trip Rail Adult,Train,75274
35,Jul-2016,Sgl Trip Rail Child/Youth,Train,19564
36,Aug-2016,Adult,Bus,14080864
37,Aug-2016,Adult Single Bus Trip 1,Bus,213548
38,Aug-2016,Adult Single Bus Trip 2,Bus,149890
39,Aug-2016,Adult Single Bus Trip 3,Bus,60625
40,Aug-2016,Child/Youth,Bus,1034488
41,Aug-2016,Child/Youth Single Bus Trip 1,Bus,85540
42,Aug-2016,Child/Youth Single Bus Trip 2,Bus,52781
43,Aug-2016,Child/Youth Single Bus Trip 3,Bus,15864
44,Aug-2016,Concession,Bus,2168046
45,Aug-2016,Employee,Bus,73112
46,Aug-2016,Free Travel,Bus,32202
47,Aug-2016,School Student,Bus,3135595
48,Aug-2016,Senior/Pensioner,Bus,4108217
49,Aug-2016,Adult,Ferry,773097
50,Aug-2016,Child/Youth,Ferry,81256
51,Aug-2016,Concession,Ferry,25177
52,Aug-2016,Employee,Ferry,4780
53,Aug-2016,Free Travel,Ferry,1728
54,Aug-2016,School Student,Ferry,2701
55,Aug-2016,Senior/Pensioner,Ferry,158521
56,Aug-2016,Sgl Trip Ferry Adult,Ferry,39692
57,Aug-2016,Sgl Trip Ferry Child/Youth,Ferry,8103
58,Aug-2016,Adult,Light Rail,626133
59,Aug-2016,Child/Youth,Light Rail,40298
60,Aug-2016,Concession,Light Rail,31569
61,Aug-2016,Free Travel,Light Rail,888
62,Aug-2016,School Student,Light Rail,4940
63,Aug-2016,Senior/Pensioner,Light Rail,134404
64,Aug-2016,Sgl Trip LR Adult,Light Rail,2068
65,Aug-2016,Sgl Trip LR Child/Youth,Light Rail,500
66,Aug-2016,Adult,Train,24129963
67,Aug-2016,Child/Youth,Train,946988
68,Aug-2016,Concession,Train,2656456
69,Aug-2016,Employee,Train,304666
70,Aug-2016,Free Travel,Train,30830
71,Aug-2016,School Student,Train,1125676
72,Aug-2016,Senior/Pensioner,Train,2849358
73,Aug-2016,Sgl Trip Rail Adult,Train,296696
74,Aug-2016,Sgl Trip Rail Child/Youth,Train,53347
75,Sep-2016,Adult,Bus,13283356
76,Sep-2016,Adult Single Bus Trip 1,Bus,185031
77,Sep-2016,Adult Single Bus Trip 2,Bus,122355
78,Sep-2016,Adult Single Bus Trip 3,Bus,50083
79,Sep-2016,Child/Youth,Bus,1130778
80,Sep-2016,Child/Youth Single Bus Trip 1,Bus,71536
81,Sep-2016,Child/Youth Single Bus Trip 2,Bus,47969
82,Sep-2016,Child/Youth Single Bus Trip 3,Bus,14739
83,Sep-2016,Concession,Bus,1736089
84,Sep-2016,Employee,Bus,71783
85,Sep-2016,Free Travel,Bus,32715
86,Sep-2016,School Student,Bus,2244235
87,Sep-2016,Senior/Pensioner,Bus,4020871
88,Sep-2016,Adult,Ferry,783747
89,Sep-2016,Child/Youth,Ferry,103302
90,Sep-2016,Concession,Ferry,25070
91,Sep-2016,Employee,Ferry,4975
92,Sep-2016,Free Travel,Ferry,1920
93,Sep-2016,School Student,Ferry,1830
94,Sep-2016,Senior/Pensioner,Ferry,165216
95,Sep-2016,Sgl Trip Ferry Adult,Ferry,46928
96,Sep-2016,Sgl Trip Ferry Child/Youth,Ferry,10730
97,Sep-2016,Adult,Light Rail,545779
98,Sep-2016,Child/Youth,Light Rail,41089
99,Sep-2016,Concession,Light Rail,26988
100,Sep-2016,Free Travel,Light Rail,844
101,Sep-2016,School Student,Light Rail,4389
102,Sep-2016,Senior/Pensioner,Light Rail,135478
103,Sep-2016,Sgl Trip LR Adult,Light Rail,2773
104,Sep-2016,Sgl Trip LR Child/Youth,Light Rail,733
105,Sep-2016,Adult,Train,23062165
106,Sep-2016,Child/Youth,Train,1094712
107,Sep-2016,Concession,Train,2131790
108,Sep-2016,Employee,Train,302130
109,Sep-2016,Free Travel,Train,30292
110,Sep-2016,School Student,Train,833102
111,Sep-2016,Senior/Pensioner,Train,2816602
112,Sep-2016,Sgl Trip Rail Adult,Train,311066
113,Sep-2016,Sgl Trip Rail Child/Youth,Train,66493
114,Oct-2016,Adult,Bus,13399297
115,Oct-2016,Adult Single Bus Trip 1,Bus,183834
116,Oct-2016,Adult Single Bus Trip 2,Bus,120313
117,Oct-2016,Adult Single Bus Trip 3,Bus,49327
