month,value,state,city,series,index
2025-01-01,48414981,NSW,Sydney,NSW public transport trips,79.8
2025-02-01,53597792,NSW,Sydney,NSW public transport trips,88.4
2025-03-01,60657354,NSW,Sydney,NSW public transport trips,100
2025-04-01,54264281,NSW,Sydney,NSW public transport trips,89.5
2025-05-01,56617109,NSW,Sydney,NSW public transport trips,93.3
2025-06-01,53972422,NSW,Sydney,NSW public transport trips,89
2025-07-01,54071413,NSW,Sydney,NSW public transport trips,89.1
2025-08-01,55622396,NSW,Sydney,NSW public transport trips,91.7
2025-09-01,57603964,NSW,Sydney,NSW public transport trips,95
2025-10-01,59593242,NSW,Sydney,NSW public transport trips,98.2
2025-11-01,57471412,NSW,Sydney,NSW public transport trips,94.7
2025-12-01,53301685,NSW,Sydney,NSW public transport trips,87.9
